frame_index,x_centroid,y_centroid,visibility_flag
0,1489.1,503.3,1
1,1487.9,503.8,1
2,1488.0,503.8,1
3,1488.1,503.8,1
4,1488.2,503.8,1
5,1487.7,504.1,1
6,1487.5,503.9,1
7,1487.8,504.0,1
8,1487.7,504.1,1
9,1488.0,504.2,1
10,1487.9,504.2,1
11,1487.9,504.2,1
12,1487.9,504.0,1
13,1487.6,504.2,1
14,1487.5,504.2,1
15,1487.6,504.3,1
16,1487.4,504.4,1
17,1487.4,504.4,1
18,1487.4,504.2,1
19,1487.6,504.3,1
20,1487.5,504.2,1
21,1487.4,504.2,1
22,1487.1,504.1,1
23,1487.1,504.4,1
24,1487.2,504.4,1
25,1487.0,504.5,1
26,1487.0,504.2,1
27,1487.1,504.2,1
28,1487.3,504.3,1
29,1487.3,504.3,1
30,1487.3,504.3,1
31,1487.5,504.6,1
32,1487.6,504.5,1
33,1487.6,504.5,1
34,1487.7,504.3,1
35,1487.8,504.3,1
36,1487.7,504.2,1
37,1488.5,505.1,1
38,1488.5,505.2,1
39,1488.4,505.2,1
40,1488.4,505.2,1
41,1488.4,505.3,1
42,1488.4,505.3,1
43,1488.3,505.3,1
44,1488.6,505.1,1
45,1488.3,505.3,1
46,1488.3,505.2,1
47,1488.4,505.2,1
48,1488.5,505.1,1
49,1488.6,504.8,1
50,1488.9,505.0,1
51,1489.0,505.0,1
52,1489.0,505.3,1
53,1489.1,505.0,1
54,1489.3,505.0,1
55,1489.3,505.1,1
56,1489.3,504.9,1
57,1490.0,505.0,1
58,1490.0,504.9,1
59,1489.7,505.0,1
60,1489.8,504.9,1
61,1490.1,505.0,1
62,1172.0,469.6,1
63,1177.0,456.7,1
64,1179.8,453.6,1
65,1106.7,497.3,1
66,1184.0,452.7,1
67,1106.5,497.1,1
68,1106.5,497.0,1
69,1106.6,497.1,1
70,1106.6,497.1,1
71,1106.7,497.2,1
72,1106.8,496.8,1
73,1106.9,496.8,1
74,1107.0,496.7,1
75,1107.0,496.7,1
76,1107.1,496.7,1
77,1107.2,496.6,1
78,1107.2,496.6,1
79,1107.3,496.5,1
80,1107.7,497.4,1
81,1107.7,497.5,1
82,1107.7,497.4,1
83,1108.2,496.0,1
84,1107.8,496.1,1
85,1110.5,497.8,1
86,1113.3,499.4,1
87,1116.1,501.1,1
88,1118.8,502.7,1
89,1121.6,504.3,1
90,1124.4,506.0,1
91,1127.2,507.6,1
92,1129.9,509.2,1
93,1132.7,510.9,1
94,1135.5,512.5,1
95,-1.0,-1.0,0
96,-1.0,-1.0,0
97,-1.0,-1.0,0
98,-1.0,-1.0,0
99,-1.0,-1.0,0
100,-1.0,-1.0,0
101,-1.0,-1.0,0
102,-1.0,-1.0,0
103,-1.0,-1.0,0
104,-1.0,-1.0,0
105,-1.0,-1.0,0
106,-1.0,-1.0,0
107,-1.0,-1.0,0
108,-1.0,-1.0,0
109,-1.0,-1.0,0
110,-1.0,-1.0,0
111,-1.0,-1.0,0
112,-1.0,-1.0,0
113,-1.0,-1.0,0
114,-1.0,-1.0,0
115,-1.0,-1.0,0
116,-1.0,-1.0,0
117,-1.0,-1.0,0
118,-1.0,-1.0,0
119,-1.0,-1.0,0
120,-1.0,-1.0,0
121,-1.0,-1.0,0
122,-1.0,-1.0,0
123,-1.0,-1.0,0
124,-1.0,-1.0,0
125,-1.0,-1.0,0
126,-1.0,-1.0,0
127,-1.0,-1.0,0
128,-1.0,-1.0,0
129,-1.0,-1.0,0
130,-1.0,-1.0,0
131,-1.0,-1.0,0
132,-1.0,-1.0,0
133,-1.0,-1.0,0
134,-1.0,-1.0,0
135,-1.0,-1.0,0
136,-1.0,-1.0,0
137,-1.0,-1.0,0
138,-1.0,-1.0,0
139,-1.0,-1.0,0
140,-1.0,-1.0,0
141,-1.0,-1.0,0
142,1268.6,591.2,1
143,1269.0,589.9,1
