frame_index,x_centroid,y_centroid,visibility_flag
0,-1.0,-1.0,0
1,1093.0,586.2,1
2,1093.1,586.2,1
3,1093.0,586.2,1
4,1092.9,586.2,1
5,1093.0,586.2,1
6,1093.0,586.3,1
7,1093.1,586.3,1
8,1093.1,586.3,1
9,1093.2,586.4,1
10,1093.2,586.4,1
11,1093.3,586.5,1
12,1093.3,586.5,1
13,1093.4,586.5,1
14,1093.4,586.5,1
15,1093.4,586.5,1
16,1093.4,586.5,1
17,1093.3,586.5,1
18,1093.3,586.5,1
19,1093.3,586.4,1
20,1093.3,586.4,1
21,1093.3,586.4,1
22,1093.3,586.4,1
23,1093.3,586.4,1
24,-1.0,-1.0,0
25,-1.0,-1.0,0
26,-1.0,-1.0,0
27,-1.0,-1.0,0
28,-1.0,-1.0,0
29,-1.0,-1.0,0
30,-1.0,-1.0,0
31,-1.0,-1.0,0
32,-1.0,-1.0,0
33,-1.0,-1.0,0
34,-1.0,-1.0,0
35,-1.0,-1.0,0
36,-1.0,-1.0,0
37,-1.0,-1.0,0
38,-1.0,-1.0,0
39,-1.0,-1.0,0
40,-1.0,-1.0,0
41,-1.0,-1.0,0
42,-1.0,-1.0,0
43,-1.0,-1.0,0
44,-1.0,-1.0,0
45,-1.0,-1.0,0
46,-1.0,-1.0,0
47,-1.0,-1.0,0
48,-1.0,-1.0,0
49,-1.0,-1.0,0
50,-1.0,-1.0,0
51,-1.0,-1.0,0
52,-1.0,-1.0,0
53,-1.0,-1.0,0
54,-1.0,-1.0,0
55,-1.0,-1.0,0
56,-1.0,-1.0,0
57,-1.0,-1.0,0
58,-1.0,-1.0,0
59,-1.0,-1.0,0
60,-1.0,-1.0,0
61,-1.0,-1.0,0
62,-1.0,-1.0,0
63,-1.0,-1.0,0
64,-1.0,-1.0,0
65,-1.0,-1.0,0
66,-1.0,-1.0,0
67,-1.0,-1.0,0
68,-1.0,-1.0,0
69,-1.0,-1.0,0
70,-1.0,-1.0,0
71,-1.0,-1.0,0
72,-1.0,-1.0,0
73,-1.0,-1.0,0
74,-1.0,-1.0,0
75,-1.0,-1.0,0
76,-1.0,-1.0,0
77,-1.0,-1.0,0
78,1092.5,585.5,1
79,1092.5,585.8,1
80,1092.6,585.9,1
81,1091.4,585.6,1
82,1093.1,585.5,1
83,1093.0,585.8,1
84,1093.1,585.7,1
85,1093.1,585.3,1
86,1093.4,585.4,1
87,1093.7,584.9,1
88,1093.9,584.9,1
89,1093.8,584.8,1
90,1093.1,584.9,1
91,1093.1,584.9,1
92,1092.3,584.9,1
93,1092.4,584.9,1
94,1092.4,584.9,1
95,1092.9,585.3,1
96,1092.9,585.2,1
97,1092.9,585.3,1
98,1092.8,585.2,1
99,1093.0,585.3,1
100,1092.4,585.8,1
101,1092.9,586.1,1
102,1092.6,586.0,1
103,1093.2,586.1,1
104,1092.5,586.1,1
105,1092.4,586.1,1
106,1092.7,585.9,1
107,1092.7,585.8,1
108,1092.5,585.9,1
109,1093.3,586.2,1
110,1093.2,586.2,1
111,1093.1,586.1,1
112,1093.0,586.1,1
113,1092.9,586.0,1
114,1092.3,586.0,1
115,1093.7,586.5,1
116,1094.0,586.5,1
117,1093.7,586.6,1
118,1093.7,586.9,1
119,1093.7,587.1,1
120,1069.5,571.1,1
121,1045.3,555.0,1
122,1021.1,539.0,1
123,996.9,522.9,1
124,972.8,506.9,1
125,972.7,506.9,1
126,972.6,506.9,1
127,1094.4,585.6,1
128,1094.4,586.5,1
129,1066.3,583.5,1
130,1038.2,580.5,1
131,1010.1,577.5,1
132,1010.1,577.4,1
133,1017.8,589.6,1
134,1025.6,601.8,1
135,1033.4,614.1,1
136,1041.1,626.3,1
137,1048.9,638.6,1
138,1056.7,650.8,1
139,1064.4,663.0,1
140,1072.2,675.3,1
141,1080.0,687.5,1
142,1087.7,699.8,1
143,1095.5,712.0,1
144,1095.6,711.9,1
145,1095.3,703.6,1
146,1095.0,695.2,1
147,1094.8,686.8,1
148,1094.5,678.5,1
149,1094.3,670.1,1
150,1094.0,661.8,1
151,1093.8,653.4,1
152,1093.5,645.0,1
153,1093.2,636.7,1
154,1093.0,628.3,1
155,-1.0,-1.0,0
156,-1.0,-1.0,0
157,-1.0,-1.0,0
158,-1.0,-1.0,0
159,1091.7,586.5,1
160,1091.7,586.5,1
161,1091.5,586.3,1
162,1091.3,586.2,1
163,1091.1,586.0,1
164,1090.8,585.9,1
165,1090.6,585.7,1
166,1090.4,585.5,1
167,1090.2,585.4,1
168,1090.0,585.2,1
169,1089.7,585.3,1
170,1158.2,585.2,1
171,1226.6,585.0,1
172,1295.0,584.9,1
173,1363.5,584.8,1
174,1431.9,584.6,1
175,1431.9,584.7,1
176,1087.2,585.7,1
177,1087.3,585.5,1
178,1087.2,585.5,1
179,1087.9,583.8,1
180,1088.1,583.7,1
181,1088.1,583.6,1
182,1088.9,584.4,1
183,1088.9,584.4,1
184,1090.0,584.8,1
185,1090.0,584.7,1
186,1090.3,584.8,1
187,1090.6,584.9,1
188,1090.8,584.9,1
189,1091.1,585.0,1
190,1091.4,585.1,1
191,1091.7,585.2,1
192,1092.0,585.2,1
193,1092.3,585.3,1
194,1092.6,585.4,1
195,1092.8,585.4,1
196,-1.0,-1.0,0
197,-1.0,-1.0,0
198,-1.0,-1.0,0
199,-1.0,-1.0,0
200,-1.0,-1.0,0
201,1094.5,585.9,1
202,1094.7,585.5,1
203,1094.9,585.1,1
204,1095.0,584.7,1
205,1095.5,584.8,1
206,1094.3,584.7,1
207,1093.0,584.7,1
208,1091.8,584.6,1
209,1090.5,584.5,1
210,1089.3,584.4,1
211,1088.1,584.4,1
212,1086.8,584.3,1
213,1085.6,584.2,1
214,1084.3,584.1,1
215,1083.1,584.1,1
216,-1.0,-1.0,0
217,-1.0,-1.0,0
218,-1.0,-1.0,0
219,-1.0,-1.0,0
220,-1.0,-1.0,0
